"dbms","table_catalog","table_schema","table_name","column_name","ordinal_position","data_type","character_maximum_length","constraint_type","table_schema-2","table_name-2","column_name-2"
"postgresql","LinkGPStracking","_timescaledb_catalog","compression_chunk_size","uncompressed_toast_size",4,"bigint",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_internal","_hyper_1_3_chunk","metadata",10,"jsonb",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","tracking","daily_routes","created_at",7,"timestamp with time zone",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_catalog","chunk_column_stats","valid",7,"boolean",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","tracking","anomaly_models_ml","model_type",4,"character varying",50,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","tracking","daily_routes_ml","avg_speed",7,"double precision",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_catalog","metadata","value",2,"text",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_internal","bgw_job_stat","total_successes",10,"bigint",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_catalog","hypertable","chunk_sizing_func_name",8,"name",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_internal","_hyper_1_6_chunk","satellites",7,"integer",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_internal","_hyper_1_6_chunk","geom",3,"USER-DEFINED",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","tracking","alerts","metadata",5,"jsonb",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_internal","_hyper_1_3_chunk","accuracy",8,"real",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_internal","_hyper_1_5_chunk","satellites",7,"integer",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_internal","_hyper_1_5_chunk","geom",3,"USER-DEFINED",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","tracking","gps_positions","altitude",6,"real",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","tracking","alerts","severity",4,"character varying",20,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_catalog","compression_settings","orderby",4,"ARRAY",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_internal","bgw_policy_chunk_stats","num_times_job_run",3,"integer",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","tracking","daily_routes_ml","route_json",5,"jsonb",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_internal","bgw_job_stat","next_start",4,"timestamp with time zone",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","public","risk_zones","risk_level",4,"real",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","tracking","gps_positions","heading",5,"real",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_catalog","bgw_job","proc_schema",7,"name",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","tracking","route_anomalies_ml","detected_at",8,"timestamp with time zone",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_catalog","dimension","interval_length",9,"bigint",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_internal","_hyper_1_2_chunk","satellites",7,"integer",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_internal","_hyper_1_2_chunk","geom",3,"USER-DEFINED",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_catalog","continuous_aggs_materialization_invalidation_log","lowest_modified_value",2,"bigint",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_internal","bgw_job_stat_history","data",7,"jsonb",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_internal","_hyper_1_8_chunk","satellites",7,"integer",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_internal","_hyper_1_8_chunk","geom",3,"USER-DEFINED",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_internal","bgw_job_stat","consecutive_crashes",14,"integer",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_internal","_hyper_1_4_chunk","satellites",7,"integer",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_internal","_hyper_1_4_chunk","geom",3,"USER-DEFINED",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","tracking","anomaly_models_ml","created_at",7,"timestamp with time zone",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","tracking","device_status","battery_level",3,"real",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","tracking","route_anomalies_ml","is_anomaly",7,"boolean",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_internal","bgw_job_stat_history","execution_start",4,"timestamp with time zone",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","tracking","geofence_events","created_at",6,"timestamp with time zone",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","tracking","route_anomalies_ml","metadata",9,"jsonb",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","tracking","route_anomalies_ml","longitude",4,"double precision",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_internal","_hyper_1_3_chunk","speed",4,"real",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_catalog","chunk","osm_chunk",8,"boolean",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","public","risk_zones","created_by",10,"bigint",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","tracking","geofences","name",3,"character varying",120,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_catalog","chunk_constraint","hypertable_constraint_name",4,"name",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_internal","bgw_job_stat","last_successful_finish",5,"timestamp with time zone",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_internal","_hyper_1_7_chunk","speed",4,"real",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","public","spatial_ref_sys","auth_name",2,"character varying",256,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_catalog","compression_settings","orderby_desc",5,"ARRAY",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","tracking","route_clusters_ml","cluster_id",3,"integer",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_catalog","dimension","compress_interval_length",10,"bigint",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","tracking","route_clusters_ml","centroid_geom",6,"USER-DEFINED",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","public","risk_zones","reports",9,"integer",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","tracking","device_status","last_connection",6,"timestamp with time zone",NULL,NULL,NULL,NULL,NULL
